method,path
DELETE,/api/agencies/:id
DELETE,/api/backup/:id
DELETE,/api/branches/:id
DELETE,/api/charts/:filename
DELETE,/api/clients/:id
DELETE,/api/employees/:id
DELETE,/api/files/:id
DELETE,/api/filter-presets/:id
DELETE,/api/guide-registrations/:id
DELETE,/api/guides/:id
DELETE,/api/products/:id
DELETE,/api/products/:id/images
DELETE,/api/users/:id
DELETE,/api/users/bulk/non-admin
GET,/api/agencies/
GET,/api/agencies/:id
GET,/api/agencies/:id/stats
GET,/api/ai/health
GET,/api/audit/
GET,/api/audit/:id
GET,/api/audit/refunds
GET,/api/audit/refunds/export.csv
GET,/api/audit/report
GET,/api/auth/profile
GET,/api/auth/test-ticket/:saleId
GET,/api/backup/
GET,/api/backup/stats
GET,/api/barcodes/
GET,/api/barcodes/printable
GET,/api/barcodes/scan/:code
GET,/api/branches/
GET,/api/branches/:id
GET,/api/branches/:id/stats
GET,/api/cash-register/current
GET,/api/cash-register/denomination-counts/:sessionId
GET,/api/cash-register/denomination-counts/:sessionId/export
GET,/api/cash-register/sessions
GET,/api/cash-register/stats/:sessionId
GET,/api/cash-register/transactions/today
GET,/api/categories/
GET,/api/categories/:id
GET,/api/charts/download/:filename
GET,/api/charts/list
GET,/api/checkout/history
GET,/api/checkout/stats
GET,/api/clients/
GET,/api/clients/:id
GET,/api/clients/:id/stats
GET,/api/clients/by-code/:code
GET,/api/clients/vip
GET,/api/debug-db
GET,/api/docs/
GET,/api/employees/
GET,/api/employees/:id
GET,/api/employees/:id/stats
GET,/api/events/
GET,/api/files/
GET,/api/files/:id
GET,/api/files/:id/download
GET,/api/files/:id/verify
GET,/api/files/integrity/export/csv
GET,/api/files/integrity/export/pdf
GET,/api/files/integrity/latest/csv
GET,/api/files/integrity/latest/pdf
GET,/api/files/integrity/scan
GET,/api/filter-presets/
GET,/api/filter-presets/default
GET,/api/guide-registrations/
GET,/api/guide-registrations/:id
GET,/api/guide-registrations/guide/:id/closure
GET,/api/guide-registrations/guide/:id/stats
GET,/api/guides/
GET,/api/guides/:id
GET,/api/guides/:id/daily-reports
GET,/api/guides/:id/stats
GET,/api/health
GET,/api/health_app
GET,/api/health/metrics
GET,/api/integrity/summary
GET,/api/inventory/alerts
GET,/api/inventory/health
GET,/api/inventory/low-stock
GET,/api/inventory/metrics
GET,/api/inventory/products/:productId/balance
GET,/api/inventory/products/:productId/history
GET,/api/inventory/report
GET,/api/inventory/stats
GET,/api/jobs/
GET,/api/jobs/:id
GET,/api/jobs/health
GET,/api/meta/config
GET,/api/meta/endpoints
GET,/api/metrics/
GET,/api/metrics/prom
GET,/api/offline/backup/config
GET,/api/offline/backup/history
GET,/api/offline/export/:type
GET,/api/offline/files/:directory
GET,/api/offline/products
GET,/api/offline/products/category/:category
GET,/api/offline/products/search
GET,/api/offline/stats
GET,/api/offline/stats/detailed
GET,/api/offline/status
GET,/api/offline/template/download
GET,/api/offline/template/generate
GET,/api/products/
GET,/api/products/:id
GET,/api/products/:id/images
GET,/api/products/by-code/:code
GET,/api/products/low-stock
GET,/api/rankings/agencies/performance
GET,/api/rankings/custom
GET,/api/rankings/employee/:id/performance
GET,/api/rankings/guide/:id/performance
GET,/api/rankings/monthly
GET,/api/rankings/products/performance
GET,/api/rankings/weekly
GET,/api/reports/cash-flow
GET,/api/reports/customers
GET,/api/reports/dashboard
GET,/api/reports/export/csv
GET,/api/reports/income-statement
GET,/api/reports/inventory
GET,/api/reports/movements
GET,/api/reports/sales
GET,/api/reports/top-products
GET,/api/sales/
GET,/api/sales/:id
GET,/api/sales/agency/:id
GET,/api/sales/employee/:id
GET,/api/sales/export/csv
GET,/api/sales/guide/:id
GET,/api/sales/health
GET,/api/sales/metrics
GET,/api/sales/stats
GET,/api/sales/tourism-stats
GET,/api/settings/
GET,/api/settings/category/:category
GET,/api/settings/export
GET,/api/settings/public
GET,/api/settings/system-info
GET,/api/settings/validate
GET,/api/test-health
GET,/api/test-ticket/:saleId
GET,/api/test-tickets/:saleId
GET,/api/tickets/generate/:saleId
GET,/api/tickets/list
GET,/api/tickets/preview/:saleId
GET,/api/tickets/test/:saleId
GET,/api/users/
GET,/offline/status
PATCH,/api/barcodes/:id/toggle-status
PATCH,/api/products/:id/stock
PATCH,/api/users/:id/status
POST,/api/agencies/
POST,/api/ai/embed
POST,/api/auth/change-password
POST,/api/auth/login
POST,/api/auth/logout
POST,/api/auth/refresh
POST,/api/auth/register
POST,/api/backup/
POST,/api/backup/:id/restore
POST,/api/backup/setup
POST,/api/barcodes/generate
POST,/api/branches/
POST,/api/cash-register/cash-movement
POST,/api/cash-register/close/:sessionId
POST,/api/cash-register/denomination-count
POST,/api/cash-register/open
POST,/api/charts/capture
POST,/api/charts/capture-all
POST,/api/charts/cleanup
POST,/api/checkout/calculate-total
POST,/api/checkout/process
POST,/api/checkout/reserve-stock
POST,/api/checkout/validate-stock
POST,/api/clients/
POST,/api/employees/
POST,/api/employees/:id/calculate-commission
POST,/api/employees/bulk-generate-barcodes
POST,/api/events/
